Stock,Date,Close,SMA_50,SMA_200,EMA_50,EMA_200,RSI,MACD,MACD_Signal,BB_Upper,BB_Middle,BB_Lower,ADX,+DI,-DI,ATR,Supertrend,Volume_Change,52W_High,52W_Low,Gap_Up,Gap_Down
ASIANPAINT.NS,2025-03-06,2267.699951171875,2260.817001953125,2742.1687060546874,2289.748362706187,2640.4554761714526,54.37517473065383,-23.262848792820478,-0.6082232442218967,2304.271320849793,2228.5125,2152.7536791502066,19.0976468008303,25.660390956580166,21.80604244632249,49.987042701023206,2270.085166002662,29.281558507880344,,,1,0
SUNPHARMA.NS,2025-03-06,1614.0,1738.3825073242188,1723.5088897705077,1710.8262810952601,1694.91172001581,39.91496524340941,-43.10356152752047,-5.528315096503157,1780.6038317016776,1665.5849914550781,1550.5661512084787,43.16776554666752,11.085453853833878,25.96621064565394,42.689880605716915,1697.2613965435746,1.252959532092257,,,1,0
TITAN.NS,2025-03-06,3121.10009765625,3323.6869970703124,3400.4246411132813,3286.0963711262516,3402.6551105167914,38.3078696689083,-74.56659207196299,-10.293366782532345,3406.9583117993666,3209.6000122070313,3012.241712614696,26.950566835610292,15.496410292919617,27.452273553117976,77.92838698491936,3270.317485165701,141.30747064494042,,,1,0
ULTRACEMCO.NS,2025-03-06,10493.5,11138.89,11242.928149414063,11098.413584054264,10969.85749894215,38.16354031855236,-243.98163840766574,-88.95391150727113,12002.835425970898,11051.307470703125,10099.779515435352,33.03953108605535,11.434052185395098,31.27828289561131,316.1502671452023,11277.014141209602,17.71921809852268,,,1,0
NESTLEIND.NS,2025-03-06,2201.199951171875,2205.3401953125,2372.51498046875,2216.4791782497923,2353.8272409527967,48.68736603323175,-4.994936024441358,-4.051329554135712,2261.7097286922058,2208.4224853515625,2155.1352420109192,11.949950289292321,20.34089222159866,22.179761072871184,52.5068690768757,2138.4424423899563,48.50790868632657,,,0,1
M&M.NS,2025-03-06,2742.39990234375,2945.008017578125,2881.3667651367186,2891.1139920975643,2764.618404332383,44.20030269183853,-87.93378771678954,-9.86927545935194,3211.7216668615188,2842.5275024414063,2473.333338021294,16.620730871128192,24.285307183243933,24.7811650546482,107.23281955631604,2924.5351184168744,1.1025694885847592,,,1,0
POWERGRID.NS,2025-03-06,266.6499938964844,281.99674255371093,312.20876113891603,279.1492625945008,298.9215010218437,48.48864337716387,-6.847364320595716,1.6663735881972546,276.43241682619964,262.0074996948242,247.5825825634488,39.190528026626204,18.138826642488727,26.241404137152568,7.84860666247728,272.8374318969608,-17.990419654834888,,,1,0
HDFCLIFE.NS,2025-03-06,618.25,621.10900390625,655.9150961303711,627.3988899327226,639.4736713955906,47.446285131561,-2.2438972422858114,-0.33466356670720687,636.1490198605017,622.7400024414062,609.3309850223108,22.34123257796885,15.023306836096053,18.944993543579557,14.814730926408378,591.2804093748638,-6.461494535714152,,,0,0
TECHM.NS,2025-03-06,1503.449951171875,1655.5669946289063,1583.951134033203,1640.7216801494337,1544.5701717533293,33.07545401147773,-45.31927752023853,-15.113818461086495,1771.2751425527526,1620.7074890136719,1470.139835474591,23.238290098554323,15.785555994403145,33.891369042894624,47.04233233532329,1607.8225133179417,14.148798069347745,,,1,0
NTPC.NS,2025-03-06,337.8999938964844,318.8723876953125,367.1825506591797,324.5776517198939,351.7743967050353,64.46127063586995,1.3854459711077993,2.491808494282778,332.66263566778116,314.8550033569336,297.047371046086,17.476661877092045,33.50229890343921,20.8815949747843,9.625195206662267,301.6312722128327,150.5201210450355,,,1,0
