Stock,Date,Price (₹),RSI,MACD,MACD_Signal,MACD_Hist,MACD_Trend,SMA_50,SMA_200,SMA_Trend,EMA_50,EMA_200,EMA_Trend,BB_Upper,BB_Lower,BB_Middle,BB_Position,ADX,ATR,Supertrend,Supertrend_Signal,Support (₹),Resistance (₹),Volume,Volume_SMA_20,Volume_Spike,52_Week_High (₹),52_Week_Low (₹),52_Week_High_Breakout,52_Week_Low_Breakout,Gap_Up,Gap_Down,1d_Change (%),1w_Change (%),1m_Change (%),Stoch_K,Stoch_D,Williams_%R,CMF
GLOBE.NS,2025-03-20,2.75,43.76488936389957,-0.27166328814301766,-0.31385732991163084,0.04219404176861319,Bullish,3.4420746612548827,4.367796976566314,Bearish,3.3420019471357127,3.970683797678149,Bearish,3.0796696579991583,2.338330324834704,2.708999991416931,Middle,37.336628420969824,0.18032377162729354,3.0424569383808024,Sell,2.3499999046325684,4.450119972229004,382825,4614688.1,False,6.190000057220459,2.3499999046325684,False,False,True,False,4.961836645774409,10.88709592136956,-11.003233773898469,38.6974848981846,22.105520354194663,-36.7647022730755,-0.2658457067059943
GNA.NS,2025-03-20,332.75,55.98818480066121,-5.163484617182576,-11.433969824947113,6.270485207764537,Bullish,345.90099853515625,399.4798822021484,Bearish,340.6608028930559,385.63261010096005,Bearish,334.2681392319824,286.37685893696295,310.32249908447267,Middle,23.45176243645931,13.732668532999,351.1552400245029,Sell,290.0,407.25,39967,139772.15,False,469.75,290.0,False,False,False,False,-1.6260162601625994,6.4970353656180535,7.546867021376813,82.2075320234872,68.27846597589753,-17.50685596706898,-0.31284628842900697
GMDCLTD.NS,2025-03-20,266.1000061035156,51.249693345334194,-7.545209519194941,-10.910208267813669,3.364998748618728,Bullish,282.63639770507814,340.9552410888672,Bearish,279.5184598796737,332.8161067608017,Bearish,272.8503115966403,236.4416851684964,254.64599838256837,Middle,29.068660726713734,11.3186722126171,286.14549858991643,Sell,238.3800048828125,327.25,1250838,843361.7,False,437.0840148925781,238.3800048828125,False,False,False,False,0.9560739280784158,5.796756354719523,4.230318418589407,77.23397232198795,64.01980925718225,-16.66313707290038,-0.10543940133696857
GMRAIRPORT.NS,2025-03-20,76.69000244140625,64.87947633317829,0.8240566685241077,0.18491137760302623,0.6391452909210815,Bullish,72.7713998413086,84.98504989624024,Bearish,73.99861657891812,81.90130550039011,Bearish,77.0191941974301,67.67580549739412,72.34749984741211,Middle,16.83135641147058,2.1528072755565733,77.54693148323983,Sell,69.29000091552734,76.7699966430664,7074406,9233554.7,False,101.7300033569336,69.29000091552734,False,False,False,False,0.013043996075468023,4.170061912917755,8.334512571795694,91.60881991738104,89.90588400385379,-8.213507164504353,0.2249533779790933
GLOBUSSPR.NS,2025-03-20,972.5,61.76265296331973,15.080900435925741,12.414673952462678,2.6662264834630633,Bullish,877.4689978027344,935.6682312011719,Bearish,897.2596156022728,898.1356410936021,Bearish,988.8092923128966,814.8757052456972,901.8424987792969,Middle,17.050469573142845,41.69010051010347,821.2274379085154,Buy,762.5499877929688,980.8499755859375,92698,85112.65,False,1331.449951171875,662.9639282226562,False,False,False,False,4.474407853730167,3.7886872998932786,20.21756416651268,51.71280810612532,38.40947070775881,-25.23962305113302,0.17081395914662933
GNFC.NS,2025-03-20,498.29998779296875,44.69286316367187,-16.422705111763833,-17.33826543876165,0.9155603269978165,Bullish,533.8540020751954,613.7516023254394,Bearish,530.0962436971321,599.7066859406581,Bearish,555.9605739307817,448.0644291209761,502.0125015258789,Middle,30.600972811235327,17.665306657633696,540.4356453459621,Sell,468.8500061035156,579.5499877929688,408818,564148.65,False,747.637939453125,468.8500061035156,False,False,False,False,2.5941888551089365,1.466092771323546,-8.61073126217905,47.428943396473414,33.97317093632834,-20.226541212071535,-0.21502104742269929
GMBREW.NS,2025-03-20,624.0,40.87787191303137,-20.269124035358345,-21.262946717381205,0.9938226820228593,Bullish,687.3930004882812,776.5842501831055,Bearish,685.3265130876315,726.9711182900614,Bearish,689.2425080139363,592.7924834411418,641.0174957275391,Middle,19.386559077575633,27.574543671792995,722.868831620752,Sell,602.4000244140625,759.5499877929688,45996,27145.75,False,991.2999877929688,500.2010192871094,False,False,False,False,0.466917489624219,-1.902212867527897,-3.4429400386847164,38.87551779190167,37.04307216333062,-57.66459109960083,-0.20904659240263734
GMMPFAUDLR.NS,2025-03-20,1049.449951171875,39.023056430460315,-30.366716357824316,-27.146395491440487,-3.2203208663838296,Bearish,1140.8810034179687,1291.56509765625,Bearish,1131.7497155908893,1261.1067518213258,Bearish,1153.1974110598876,1015.3275767330812,1084.2624938964843,Middle,20.99910197728807,35.38655852714003,1137.142716478295,Sell,1003.5499877929688,1218.1500244140625,48913,65191.65,False,1466.78662109375,1003.5499877929688,False,False,False,False,-0.7753106465184789,-0.7377676829628754,-6.3868778857015585,27.32594541904881,15.031174620364618,-63.07754979524452,-0.11376679973226345
GMRP&UI.NS,2025-03-20,107.8499984741211,55.23952784345904,-0.6853699596987468,-1.7127177684255508,1.027347808726804,Bullish,107.4031997680664,111.881499710083,Bearish,106.68132668202938,102.825121265325,Bullish,111.67946138609088,94.31553830873335,102.99749984741212,Middle,16.67894559473958,5.701599066710207,122.03616603189047,Sell,93.91999816894531,121.83999633789062,3518423,2718253.25,False,162.5500030517578,42.849998474121094,False,False,False,False,-0.5165622812205561,5.953431087620054,7.774556613393568,80.58576308180653,68.87746486602241,-14.556384541238575,-0.09773301427027152
GOCLCORP.NS,2025-03-20,291.1499938964844,45.653133699706125,-13.698412130100621,-15.606137978060241,1.90772584795962,Bullish,325.2480010986328,397.3784066772461,Bearish,319.40407161173414,381.4614912568318,Bearish,323.74143957014695,257.533560429853,290.6375,Middle,19.394547020380188,16.27385428596382,326.2084113108566,Sell,265.1499938964844,373.3999938964844,55012,106602.7,False,491.3876953125,265.1499938964844,False,False,False,False,0.8835716351489387,4.354836522037409,-10.277351649773692,41.539440414706185,23.68690314146022,-37.48647704999987,-0.35261223825774646
